,Unnamed: 0,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,24_moving_avg_previous,24_moving_avg_current,DELTA_MOVING_AVG,DELTA_MOVING_AVG_%_Change,LAT,LONG
96,2073,61938,2087,10950,Zip,NY,NY,Town of Monroe,New York-Newark-Jersey City,Orange County,303492.0,305384.0,307612.0,310926.0,314449.0,317510.0,320261.0,322586.0,324749.0,326536.0,328365.0,330526.0,333001.0,334693.0,335858.0,336206.0,336530.0,336886.0,337606.0,338697.0,339514.0,340048.0,340072.0,339821.0,338963.0,327555.33333333326,329033.29166666674,1477.958333333372,0.4512087525161262,41.31099450000001,-74.18762477523933
97,2106,62006,2121,11103,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,751670.0,760109.0,767632.0,775229.0,780190.0,785597.0,789312.0,791271.0,790307.0,788625.0,785418.0,786122.0,788166.0,790405.0,790639.0,789283.0,789960.0,791972.0,794196.0,796278.0,797860.0,799784.0,803197.0,804143.0,803599.0,786973.5416666665,789137.25,2163.7083333333717,0.2749404165165492,40.76256800285407,-73.91368165002238
98,2120,61627,2135,10013,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,3137656.0,3133440.0,3143258.0,3134319.0,3114349.0,3102023.0,3111696.0,3116426.0,3116282.0,3125708.0,3118327.0,3107629.0,3087659.0,3081240.0,3069625.0,3068386.0,3067279.0,3064178.0,3048138.0,3040575.0,3034643.0,3022963.0,3023563.0,3030022.0,3042520.0,3087474.333333333,3083510.333333333,-3964.0,-0.12838973128305625,40.72307505,-74.00935883752011
99,2122,62041,2137,11231,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,1418212.0,1412510.0,1409834.0,1408229.0,1407747.0,1412905.0,1410724.0,1411413.0,1414897.0,1420507.0,1420823.0,1415195.0,1413213.0,1415353.0,1417071.0,1417330.0,1415528.0,1409514.0,1409291.0,1404485.0,1399978.0,1391798.0,1390826.0,1393732.0,1395988.0,1410046.458333333,1409120.458333333,-926.0,-0.06567159504052984,40.6793947,-74.0173277
100,2139,62077,2154,11365,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,718747.0,724531.0,729724.0,734287.0,739606.0,743245.0,747740.0,749067.0,750269.0,750451.0,749918.0,749884.0,750699.0,751040.0,751173.0,749521.0,747718.0,745838.0,743180.0,741337.0,739994.0,738946.0,738871.0,737598.0,734751.0,742641.0,743307.8333333335,666.8333333333721,0.08979215170363232,40.7381584,-73.7963654
101,2207,62079,2222,11367,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,377523.0,381517.0,385793.0,388945.0,392432.0,394635.0,397650.0,398686.0,399486.0,399847.0,399540.0,399829.0,400866.0,401365.0,401508.0,400779.0,399672.0,399101.0,397976.0,397332.0,397352.0,397727.0,399000.0,399448.0,398925.0,396167.04166666674,397058.79166666674,891.75,0.22509444406289472,40.72877867959629,-73.82106545767132
102,2216,61649,2231,10035,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,769510.0,764310.0,756308.0,745609.0,736015.0,731008.0,732520.0,731962.0,731508.0,730197.0,721458.0,708598.0,696814.0,694464.0,694037.0,692951.0,689373.0,687978.0,683518.0,681906.0,678373.0,676933.0,679495.0,685753.0,693513.0,712524.9166666665,709358.375,-3166.541666666628,-0.4444113591817027,40.7238899,-73.9911667
103,2294,61780,2309,10304,Zip,NY,NY,New York,New York-Newark-Jersey City,Richmond County,529200.0,534511.0,538230.0,540077.0,540851.0,542416.0,544782.0,548256.0,551658.0,553747.0,554752.0,554253.0,551069.0,548360.0,545349.0,545276.0,544929.0,544567.0,544011.0,543060.0,541687.0,540308.0,538883.0,538125.0,539129.0,544098.2083333335,544511.9166666665,413.70833333325567,0.07603559927177772,40.606031,-74.086625
104,2357,61795,2373,10455,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,328017.0,333318.0,341630.0,347590.0,352279.0,352832.0,356319.0,360701.0,364278.0,362918.0,361406.0,365202.0,370551.0,376258.0,374895.0,375421.0,377817.0,383992.0,388368.0,391614.0,396290.0,404660.0,413141.0,415846.0,415538.0,370639.29166666674,374286.0,3646.7083333333144,0.9838968547924406,40.8573603,-73.9129881
105,2384,61876,2400,10583,Zip,NY,NY,Scarsdale,New York-Newark-Jersey City,Westchester County,1213733.0,1209028.0,1201240.0,1190601.0,1182506.0,1176563.0,1172863.0,1169720.0,1168817.0,1162479.0,1159567.0,1151699.0,1148573.0,1143432.0,1141407.0,1141078.0,1139247.0,1136824.0,1132683.0,1127197.0,1122290.0,1120741.0,1118592.0,1118714.0,1118010.0,1156233.083333333,1152244.625,-3988.458333333256,-0.3449527946246642,40.9896108,-73.8086062
106,2440,61777,2459,10301,Zip,NY,NY,New York,New York-Newark-Jersey City,Richmond County,535313.0,540483.0,544893.0,547516.0,548568.0,548450.0,548052.0,548572.0,551352.0,554329.0,555827.0,554794.0,551254.0,547928.0,544959.0,543774.0,542649.0,542006.0,541995.0,542875.0,542641.0,541792.0,540383.0,540212.0,541046.0,545859.0416666665,546097.9166666665,238.875,0.04376129765491198,40.63979875,-74.07574570091533
107,2466,399546,2485,10075,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,918653.0,930573.0,939197.0,946729.0,946154.0,939955.0,936696.0,935698.0,937720.0,931438.0,937421.0,924890.0,925903.0,916980.0,918319.0,911215.0,907674.0,908044.0,909445.0,910902.0,911189.0,915904.0,913915.0,917773.0,912694.0,924682.7916666665,924434.5,-248.29166666662783,-0.02685155048890896,40.77360489710273,-73.9565101568999
108,2585,61626,2605,10012,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1826326.0,1843640.0,1864325.0,1890395.0,1906163.0,1942875.0,1988074.0,2017222.0,2017119.0,2024925.0,2048920.0,2071887.0,2067494.0,2047318.0,2035467.0,2040498.0,2043704.0,2033288.0,2013872.0,2019640.0,2046624.0,2063396.0,2066454.0,2067718.0,2095934.0,1999472.666666667,2010706.333333333,11233.666666666511,0.561831469564134,40.72509406587661,-73.99808521558043
109,2594,61899,2615,10705,Zip,NY,NY,Yonkers,New York-Newark-Jersey City,Westchester County,496639.0,495577.0,495857.0,495051.0,494583.0,492963.0,493845.0,494926.0,498192.0,498193.0,499698.0,499211.0,502450.0,505522.0,508737.0,511278.0,513276.0,516231.0,517930.0,519485.0,519384.0,520966.0,522586.0,525623.0,527162.0,505758.45833333326,507030.25,1271.7916666666858,0.25146226340093725,40.9312099,-73.8987469
110,2662,61905,2684,10801,Zip,NY,NY,New Rochelle,New York-Newark-Jersey City,Westchester County,581856.0,579570.0,577226.0,572415.0,571180.0,567571.0,565731.0,566816.0,568879.0,567840.0,568018.0,567422.0,568755.0,571552.0,575223.0,578735.0,580106.0,582133.0,583371.0,582783.0,581162.0,581546.0,581364.0,581620.0,580058.0,575119.75,575044.8333333335,-74.91666666662786,-0.013026272644371518,40.912473,-73.7830235
111,2729,61991,2750,11040,Zip,NY,NY,North New Hyde Park,New York-Newark-Jersey City,Nassau County,669749.0,673708.0,678076.0,682241.0,685699.0,689381.0,692652.0,696621.0,698461.0,700837.0,701619.0,704075.0,704694.0,705277.0,703984.0,702520.0,700763.0,699283.0,698450.0,697293.0,697466.0,696988.0,696776.0,694960.0,693737.0,694648.875,695648.375,999.5,0.14388564294443004,40.7431574,-73.6931861
112,2787,62069,2809,11357,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,811740.0,819634.0,826132.0,832720.0,839521.0,844792.0,848058.0,848581.0,850675.0,853495.0,855188.0,855825.0,854276.0,851526.0,849179.0,845955.0,842445.0,839197.0,836417.0,834424.0,831601.0,829068.0,826763.0,824082.0,821213.0,839637.25,840031.9583333335,394.7083333333722,0.04700938808198089,40.7866975,-73.7950285
113,2826,61794,2849,10454,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,558963.0,548911.0,548081.0,550572.0,550668.0,551917.0,558251.0,563563.0,574639.0,581662.0,589854.0,594397.0,602205.0,610617.0,615337.0,617955.0,620897.0,622908.0,620800.0,620494.0,619357.0,623330.0,625806.0,631708.0,636206.0,591787.1666666665,595005.625,3218.458333333372,0.5438540263490065,40.7587979,-73.9623427
114,2878,61781,2901,10305,Zip,NY,NY,New York,New York-Newark-Jersey City,Richmond County,534186.0,539589.0,542878.0,544549.0,546638.0,549532.0,553418.0,557127.0,561370.0,563459.0,564692.0,563341.0,560368.0,557452.0,555078.0,555014.0,553756.0,552505.0,550946.0,549777.0,547700.0,546284.0,544762.0,544399.0,544726.0,551617.5,552056.6666666665,439.166666666628,0.07961434629369588,40.609344,-74.076293
115,2998,61857,3024,10550,Zip,NY,NY,Mount Vernon,New York-Newark-Jersey City,Westchester County,375636.0,378197.0,383306.0,386866.0,390177.0,390514.0,393688.0,398174.0,402719.0,403863.0,403902.0,404083.0,406209.0,410205.0,412877.0,416090.0,419123.0,423462.0,426772.0,428969.0,431124.0,434970.0,439638.0,444440.0,448400.0,408541.83333333326,411573.66666666674,3031.833333333372,0.742110865023624,40.9125815,-73.8370786
116,3072,62008,3098,11105,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,892296.0,894521.0,891514.0,893809.0,894711.0,899494.0,902703.0,903332.0,904565.0,903843.0,901583.0,903764.0,907095.0,910215.0,913008.0,913170.0,915053.0,915746.0,916904.0,917184.0,916340.0,919343.0,924461.0,927225.0,928415.0,907578.2916666665,909083.25,1504.958333333372,0.16582132331191873,40.7587979,-73.9623427
117,3093,61805,3121,10465,Zip,NY,NY,New York,New York-Newark-Jersey City,Bronx County,457574.0,460565.0,465125.0,467805.0,471072.0,474667.0,478320.0,479793.0,484052.0,486229.0,489592.0,492205.0,496540.0,502377.0,506859.0,510094.0,512945.0,514864.0,515553.0,517345.0,517573.0,519661.0,519508.0,519295.0,516150.0,494150.54166666674,496591.20833333326,2440.6666666666283,0.4939115635560711,40.8143307,-73.8132314
118,3140,62076,3171,11364,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,469206.0,473418.0,477569.0,481674.0,484815.0,486095.0,488041.0,488628.0,490527.0,491549.0,492574.0,492824.0,492822.0,491688.0,490711.0,488949.0,488143.0,488135.0,487644.0,487138.0,486399.0,485861.0,485654.0,485704.0,485777.0,486490.33333333326,487180.79166666674,690.4583333333721,0.14192642402624764,40.7401947,-73.7598216
119,3148,61870,3179,10573,Zip,NY,NY,Port Chester,New York-Newark-Jersey City,Westchester County,617678.0,618254.0,618066.0,614751.0,610726.0,606230.0,604830.0,607029.0,610633.0,611695.0,611976.0,608790.0,607737.0,606442.0,607129.0,608615.0,611144.0,613822.0,614810.0,613602.0,612177.0,612193.0,612740.0,615186.0,616812.0,611510.625,611474.5416666665,-36.08333333337214,-0.005900687879850352,41.0017643,-73.6656834
120,3202,61652,3233,10038,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,1311493.0,1328147.0,1350536.0,1357802.0,1363639.0,1367793.0,1369048.0,1370492.0,1380320.0,1393462.0,1398869.0,1403094.0,1395056.0,1388624.0,1374868.0,1372169.0,1371914.0,1373217.0,1377371.0,1375635.0,1372799.0,1367076.0,1368201.0,1372216.0,1383308.0,1370993.375,1373985.666666667,2992.2916666667443,0.21825719374221952,40.709240187686746,-74.0042839521625
121,3472,61898,3505,10704,Zip,NY,NY,Yonkers,New York-Newark-Jersey City,Westchester County,478879.0,480508.0,480186.0,478275.0,477930.0,478204.0,481017.0,483862.0,487507.0,487869.0,488672.0,486581.0,486838.0,487080.0,489092.0,491610.0,492812.0,492973.0,491416.0,489779.0,488287.0,489014.0,490527.0,493099.0,494778.0,486334.04166666674,486996.5,662.4583333333139,0.13621467480727226,40.9312099,-73.8987469
122,3474,62070,3506,11358,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,887088.0,893301.0,897859.0,902882.0,906905.0,909734.0,912146.0,912171.0,913736.0,914807.0,915076.0,914531.0,913690.0,912295.0,911032.0,908437.0,906252.0,903918.0,901197.0,899323.0,896942.0,895621.0,894315.0,892645.0,889772.0,904829.2916666665,904941.125,111.83333333337214,0.012359605769103551,40.76086760800844,-73.79591979915963
123,3492,61644,3525,10030,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,810276.0,814524.0,812434.0,805214.0,802919.0,801176.0,805273.0,801771.0,798423.0,794462.0,794911.0,792854.0,794084.0,795004.0,800991.0,806803.0,809715.0,813096.0,811451.0,812983.0,812417.0,812034.0,809041.0,804811.0,799265.0,804861.125,804402.3333333335,-458.791666666628,-0.057002587454652864,40.81806430086493,-73.94310534454858
124,3769,61996,3807,11050,Zip,NY,NY,Port Washington,New York-Newark-Jersey City,Nassau County,906713.0,911998.0,916948.0,924823.0,930049.0,934975.0,937056.0,940910.0,942236.0,942134.0,940535.0,940771.0,940784.0,938665.0,934498.0,927333.0,921343.0,916547.0,913695.0,910056.0,906696.0,903522.0,900175.0,895414.0,889913.0,924078.1666666665,923378.1666666665,-700.0,-0.07575116751486932,40.83021,-73.6877785
125,3828,61864,3866,10562,Zip,NY,NY,Town Of Ossining,New York-Newark-Jersey City,Westchester County,437451.0,436477.0,435512.0,433426.0,432932.0,432019.0,432556.0,434764.0,437892.0,437606.0,437613.0,435591.0,436646.0,437815.0,440231.0,442506.0,444282.0,445746.0,446317.0,445214.0,444288.0,444795.0,445607.0,447385.0,447802.0,439361.29166666674,439792.58333333326,431.291666666628,0.0981633281872812,41.1606855,-73.86282471041035
126,3875,61631,3913,10017,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,670887.0,668747.0,663527.0,659290.0,654894.0,653509.0,655700.0,664485.0,671548.0,669110.0,655910.0,644513.0,643028.0,648278.0,653225.0,652464.0,651638.0,650255.0,647378.0,641154.0,636763.0,638411.0,646242.0,651276.0,651472.0,653843.0,653034.0416666665,-808.9583333333721,-0.1237236360002894,40.7527373,-73.9643244
127,4094,62038,4134,11228,Zip,NY,NY,New York,New York-Newark-Jersey City,Kings County,942561.0,946550.0,949360.0,955816.0,956751.0,960123.0,960863.0,964568.0,968352.0,973337.0,976756.0,978439.0,978076.0,975683.0,972568.0,969049.0,968101.0,967177.0,966669.0,965352.0,962050.0,958222.0,955949.0,954517.0,954944.0,963620.375,964136.3333333335,515.9583333333721,0.05354373430858311,40.7292689,-73.9606938
128,4158,62090,4200,11379,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,744907.0,747986.0,751144.0,755458.0,759534.0,762720.0,765188.0,764912.0,765908.0,767813.0,768253.0,768204.0,769067.0,769185.0,769720.0,768189.0,767411.0,766699.0,765255.0,764576.0,763515.0,762694.0,762565.0,762541.0,761105.0,763060.1666666665,763735.0833333335,674.9166666667443,0.08844868283650996,40.71899183456922,-73.87954535501157
129,4340,62099,4385,11413,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,473043.0,476963.0,481062.0,485477.0,490243.0,494046.0,498637.0,502000.0,504740.0,506540.0,508166.0,509827.0,512001.0,512687.0,513796.0,513762.0,513531.0,514018.0,513482.0,513162.0,513871.0,515455.0,517902.0,519697.0,520870.0,504337.83333333326,506330.625,1992.791666666686,0.3951303144354005,40.6731075752351,-73.74964991121624
130,4406,61978,4453,11003,Zip,NY,NY,Elmont,New York-Newark-Jersey City,Nassau County,448588.0,452326.0,455654.0,456935.0,458128.0,459729.0,463884.0,468340.0,472675.0,476666.0,478844.0,480233.0,481666.0,483725.0,485424.0,487165.0,488646.0,490166.0,490525.0,490690.0,491211.0,491516.0,492223.0,492813.0,493007.0,476573.83333333326,478424.625,1850.791666666686,0.3883536059295505,40.70350835,-73.70776213567353
131,4444,61942,4491,10956,Zip,NY,NY,Ramapo,New York-Newark-Jersey City,Rockland County,499913.0,501287.0,503803.0,506800.0,510775.0,512893.0,513253.0,514661.0,515974.0,517412.0,518667.0,519577.0,520155.0,520144.0,519054.0,517687.0,515510.0,514357.0,514029.0,512953.0,511256.0,509589.0,507834.0,506615.0,504863.0,512674.91666666674,512881.16666666674,206.25,0.04023017184866498,41.1412003,-74.1685
132,4469,61651,4516,10037,Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,580924.0,586901.0,593168.0,592796.0,593094.0,593631.0,600245.0,603250.0,612283.0,620101.0,616047.0,602825.0,584694.0,569407.0,560055.0,555011.0,548866.0,542380.0,531290.0,523182.0,513601.0,509375.0,511951.0,521819.0,533055.0,569454.0,567459.4583333335,-1994.541666666628,-0.35025509815834605,40.8115226,-73.9348399
133,4529,61904,4576,10710,Zip,NY,NY,Yonkers,New York-Newark-Jersey City,Westchester County,530268.0,530592.0,531278.0,527715.0,526296.0,524832.0,527311.0,530720.0,534300.0,533679.0,533716.0,531288.0,531745.0,531780.0,533362.0,536359.0,538664.0,541097.0,541712.0,541319.0,541524.0,543751.0,546597.0,550891.0,553448.0,535033.1666666665,535999.0,965.833333333372,0.1805184039992609,40.971733400000005,-73.83596681489232
134,4544,61886,4591,10598,Zip,NY,NY,Town Of Yorktown,New York-Newark-Jersey City,Westchester County,480296.0,480727.0,479987.0,477766.0,476138.0,474456.0,474320.0,475922.0,478829.0,479634.0,480548.0,478467.0,478410.0,478695.0,481203.0,483044.0,484922.0,486522.0,488065.0,487979.0,487674.0,488011.0,488554.0,490470.0,491523.0,481693.29166666674,482161.08333333326,467.791666666628,0.09711400900935553,41.274404,-73.80962310115079
135,4671,62106,4719,11420,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,520217.0,523939.0,527645.0,531291.0,533626.0,536210.0,536939.0,537032.0,537038.0,540968.0,544603.0,547731.0,548635.0,549602.0,550901.0,551890.0,552963.0,554365.0,555835.0,557282.0,558942.0,559203.0,560401.0,562024.0,564328.0,544970.0833333335,546808.0416666665,1837.958333333256,0.3372585742856384,40.675362747345524,-73.81506768875586
136,4772,62100,4821,11414,Zip,NY,NY,New York,New York-Newark-Jersey City,Queens County,424480.0,428188.0,431900.0,436789.0,440640.0,443490.0,445039.0,446387.0,449586.0,454415.0,457875.0,460782.0,462548.0,464577.0,465536.0,465447.0,465887.0,467741.0,470346.0,473168.0,474798.0,475319.0,476911.0,478370.0,479922.0,456675.79166666674,458985.875,2310.083333333314,0.5058475565132371,40.6665529,-73.8427427
